match.id,series.id,end.time,duration..s.,mode,map,team,player,win.,score,kills,deaths,X...,k.d,kills.per.10min,deaths.per.10min,player.score,player.spm,damage.dealt,ekia,assists,headshots,suicides,team.kills,team.deaths,kills..stayed.alive.,hits,shots,accuracy....,num.lives,time.alive..s.,avg.time.per.life..s.,fave.specialist,fave.scorestreaks,hill.time..s.,hill.captures,hill.defends,snd.rounds,snd.firstbloods,snd.firstdeaths,snd.survives,bomb.pickups,bomb.plants,bomb.defuses,bomb.sneak.defuses,snd.1.kill.round,snd.2.kill.round,snd.3.kill.round,snd.4.kill.round,ctrl.rounds,ctrl.firstbloods,ctrl.firstdeaths,ctrl.captures,X2.piece,X3.piece,X4.piece,X4.streak,X5.streak,X6.streak,X7.streak,X8..streak
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,100 Thieves,Octane,W,250,23,17,6,1.35,,,4320,,4946,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,100 Thieves,Kenny,W,250,29,22,7,1.32,,,4215,,5840,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,100 Thieves,Slasher,W,250,31,22,9,1.41,,,4110,,5849,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,100 Thieves,Priestahh,W,250,27,17,10,1.59,,,3165,,5017,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,100 Thieves,Enable,W,250,19,17,2,1.12,,,2970,,4148,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,Reciprocity,Dylan,L,138,21,24,-3,0.88,,,3085,,3701,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,Reciprocity,Tommey,L,138,20,27,-7,0.74,,,2830,,4833,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,Reciprocity,Seany,L,138,19,24,-5,0.79,,,2640,,4471,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,Reciprocity,Zed,L,138,17,29,-12,0.59,,,2590,,4294,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
7.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,535,Hardpoint,Frequency,Reciprocity,Wuskin,L,138,17,25,-8,0.68,,,2400,,4700,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,100 Thieves,Octane,W,6,5,6,-1,0.83,,,800,,2048,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,100 Thieves,Kenny,W,6,11,7,4,1.57,,,1525,,2312,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,100 Thieves,Slasher,W,6,5,7,-2,0.71,,,750,,1481,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,100 Thieves,Priestahh,W,6,8,7,1,1.14,,,1225,,2018,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,100 Thieves,Enable,W,6,10,7,3,1.43,,,1225,,1380,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,Reciprocity,Dylan,L,4,8,8,0,1,,,1200,,1873,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,Reciprocity,Tommey,L,4,2,9,-7,0.22,,,225,,860,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,Reciprocity,Seany,L,4,8,8,0,1,,,1025,,1865,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,Reciprocity,Zed,L,4,8,8,0,1,,,1250,,1677,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
8.00E+00,pool-A-2,2019-05-03 16:22:38 UTC,600,Search & Destroy,Frequency,Reciprocity,Wuskin,L,4,8,6,2,1.33,,,1325,,1757,,0,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,0,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,Reciprocity,Wuskin,W,3,19,14,5,1.36,,,2910,,3346,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,Reciprocity,Seany,W,3,19,14,5,1.36,,,2820,,3639,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,Reciprocity,Tommey,W,3,17,17,0,1,,,2725,,4084,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,Reciprocity,Zed,W,3,18,18,0,1,,,2225,,3462,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,Reciprocity,Dylan,W,3,15,16,-1,0.94,,,1850,,2910,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
